stop_number,city,country,state_province,lat,lng,timezone,utc_offset,utc_offset_rounded,utc_time,local_time,population,temperature_c,weather_condition,wind_speed_mps,wind_direction_deg,wind_gust_mps
1,North Pole,Arctic,,90,0,UTC+14,14,14,2025-12-24 09:31:45,2025-12-24 23:31:45,0,-12.1,Overcast,2.75,44,4.00
2,Teraina,Kiribati,,4.6833,-160.3833,Pacific/Kiritimati,14,14,2025-12-24 10:00:00,2025-12-25 00:00:00,1712,27.4,Light drizzle,3.61,88,5.89
3,Tabuaeran,Kiribati,,3.8667,-159.35,Pacific/Kiritimati,14,14,2025-12-24 10:00:26,2025-12-25 00:00:26,2539,26.5,Light drizzle,4.22,83,7.00
4,Kiritimati,Kiribati,,1.8667,-157.4,Pacific/Kiritimati,14,14,2025-12-24 10:01:21,2025-12-25 00:01:21,6447,26.0,Mainly clear,6.72,94,8.69
5,Amundsen-Scott South Pole Station,Antarctica,,-90,0,Pacific/Auckland,13,13,2025-12-24 11:00:00,2025-12-25 00:00:00,150,-27.1,Clear sky,4.00,80,5.31
6,Scott Base,Antarctica,,-77.85,166.7667,Pacific/Auckland,13,13,2025-12-24 11:03:28,2025-12-25 00:03:28,85,-6.0,Clear sky,4.06,153,9.61
7,McMurdo Station,Antarctica,,-77.85,166.6667,Pacific/Auckland,13,13,2025-12-24 11:03:29,2025-12-25 00:03:29,1000,-5.6,Clear sky,4.86,163,8.31
8,Mario Zucchelli Station,Antarctica,,-74.695,164.1022,Pacific/Auckland,13,13,2025-12-24 11:04:24,2025-12-25 00:04:24,90,-6.3,Clear sky,2.94,332,7.89
9,Halfmoon Bay,New Zealand,,-46.899,168.127,Pacific/Auckland,13,13,2025-12-24 11:12:23,2025-12-25 00:12:23,300,9.1,Dense drizzle,3.42,3,9.00
10,Invercargill,New Zealand,,-46.429,168.362,Pacific/Auckland,13,13,2025-12-24 11:12:31,2025-12-25 00:12:31,47625,10.2,Light drizzle,7.36,4,11.89
11,Glencoe,New Zealand,,-46.192,168.646,Pacific/Auckland,13,13,2025-12-24 11:12:37,2025-12-25 00:12:37,9750,10.2,Slight rain,5.78,10,15.11
12,Te Anau,New Zealand,,-45.415,167.716,Pacific/Auckland,13,13,2025-12-24 11:12:54,2025-12-25 00:12:54,2250,10.1,Slight rain,0.97,62,10.00
13,Macetown,New Zealand,,-44.865,168.819,Pacific/Auckland,13,13,2025-12-24 11:13:10,2025-12-25 00:13:10,16600,8.1,Moderate drizzle,1.00,210,15.19
14,Wanaka,New Zealand,,-44.7081,169.1239,Pacific/Auckland,13,13,2025-12-24 11:13:15,2025-12-25 00:13:15,8900,-3.1,Heavy snow fall,1.67,323,20.19
15,Dunedin,New Zealand,,-45.8742,170.5036,Pacific/Auckland,13,13,2025-12-24 11:13:41,2025-12-25 00:13:41,36070,12.0,Overcast,4.69,40,8.69
16,Mosgiel,New Zealand,,-45.875,170.348,Pacific/Auckland,13,13,2025-12-24 11:13:43,2025-12-25 00:13:43,13400,12.0,Overcast,4.69,40,8.69
17,Timaru,New Zealand,,-44.3931,171.2508,Pacific/Auckland,13,13,2025-12-24 11:14:11,2025-12-25 00:14:11,27501,15.1,Mainly clear,2.56,47,4.11
18,Ashton,New Zealand,,-44.033,171.772,Pacific/Auckland,13,13,2025-12-24 11:14:20,2025-12-25 00:14:20,17700,14.1,Mainly clear,2.06,1,3.39
19,Christchurch,New Zealand,,-43.5311,172.6361,Pacific/Auckland,13,13,2025-12-24 11:14:33,2025-12-25 00:14:33,383200,14.6,Mainly clear,2.81,1,7.11
20,Kairaki,New Zealand,,-43.385,172.703,Pacific/Auckland,13,13,2025-12-24 11:14:36,2025-12-25 00:14:36,225,14.6,Mainly clear,2.81,1,7.11
21,Rolleston,New Zealand,,-43.596,172.383,Pacific/Auckland,13,13,2025-12-24 11:14:41,2025-12-25 00:14:41,16350,14.6,Mainly clear,2.81,1,7.11
22,Hokitika,New Zealand,,-42.7167,170.9667,Pacific/Auckland,13,13,2025-12-24 11:15:05,2025-12-25 00:15:05,2892,16.8,Light drizzle,10.81,322,13.19
23,Greymouth,New Zealand,,-42.45,171.2075,Pacific/Auckland,13,13,2025-12-24 11:15:10,2025-12-25 00:15:10,7965,16.8,Light drizzle,10.81,322,13.19
24,Westport,New Zealand,,-41.755,171.599,Pacific/Auckland,13,13,2025-12-24 11:15:23,2025-12-25 00:15:23,4660,8.0,Light drizzle,2.86,331,6.89
25,Richmond,New Zealand,,-41.3333,173.1833,Pacific/Auckland,13,13,2025-12-24 11:15:45,2025-12-25 00:15:45,15000,10.6,Mainly clear,3.97,219,10.11
